X,Y,Z
58,28,12.143188004594984
61,27,11.677400403010681
58,27,13.834290247480734
61,26,12.588868292744873
58,29,12.850439173150747
61,28,11.447129894963098
55,29,12.828817820558843
55,28,12.189688627471693
64,26,13.785022352862036
61,29,13.741138626721046
64,27,14.001614180128835
64,24,13.487545540559502
58,31,11.302185219169518
64,28,12.851301591153879
64,23,12.675626475540845
61,30,10.877053026161681
52,29,12.603324385556459
55,32,10.903648698937657
64,29,13.524451753012746
67,26,12.439633977635948
64,22,12.645300507728386
67,22,13.768494062189536
61,31,13.018851913474458
52,32,12.32479712536718
67,27,12.796029693894074
55,24,13.53296752633406
55,33,13.309657433390832
64,21,11.815136482300861
52,33,11.23186973264977
70,23,14.206956946002
70,22,11.892025228730462
55,23,13.158479737249005
67,20,11.818456426718773
70,21,14.228418234270919
49,30,12.234813274508932
49,29,12.962834787516345
49,31,12.609106191030149
49,28,12.897939812313767
49,32,13.384931710544711
67,19,12.21126689129515
73,21,13.457356505219543
73,22,14.424207965319917
52,23,13.237934484241674
49,33,13.1925792504676
73,20,13.022195408948104
49,34,11.99758359294639
52,22,12.238162120539215
76,20,13.989709862003508
76,19,13.522120679982429
76,21,12.189505264598633
76,18,12.098577715228574
49,35,12.690490746694762
49,23,12.572812796425021
79,17,12.236207094015787
79,16,11.49141634679575
82,16,12.558255353293276
82,15,11.621114558778055
85,16,11.733492226494086
85,13,11.75972850475606
85,12,14.428119970552942
43,37,13.55769074521302
43,38,13.850786543423062
88,17,13.613149141721193
88,16,13.310976365813879
85,7,13.753378475008542
85,6,14.571872476992674
88,7,14.888191003426325
88,6,13.308414374875193
