ID,geneNames,fullName,EC_number,function
K03106,SRP54; ffh,signal recognition particle subunit SRP54 [EC:3.6.5.4],3.6.5.4,signal-recognition-particle GTPase
K11915,stp1; pppA,serine/threonine protein phosphatase Stp1 [EC:3.1.3.16],3.1.3.16,protein-serine/threonine phosphatase
K03224,yscN; sctN; hrcN; ssaN,ATP synthase in type III secretion protein N [EC:7.4.2.8],7.4.2.8,protein-secreting ATPase
K02454,gspE,general secretion pathway protein E [EC:7.4.2.8],7.4.2.8,protein-secreting ATPase
K03070,secA,preprotein translocase subunit SecA [EC:7.4.2.8],7.4.2.8,protein-secreting ATPase
K03199,virB4; lvhB4,type IV secretion system protein VirB4 [EC:7.4.2.8],7.4.2.8,protein-secreting ATPase
K03196,virB11; lvhB11,type IV secretion system protein VirB11 [EC:7.4.2.8],7.4.2.8,protein-secreting ATPase
K03205,virD4; lvhD4,type IV secretion system protein VirD4 [EC:7.4.2.8],7.4.2.8,protein-secreting ATPase
K02464,gspO,general secretion pathway protein O [EC:3.4.23.43 2.1.1.-],3.4.23.43,prepilin peptidase
K11912,ppkA,serine/threonine-protein kinase PpkA [EC:2.7.11.1],2.7.11.1,non-specific serine/threonine protein kinase
K02464,gspO,general secretion pathway protein O [EC:3.4.23.43 2.1.1.-],2.1.1.-,[EC:2.1.1.-] n/a
K11004,,,,
K11003,,,,
K12340,,,,
K11028,,,,
K11017,,,,
K11016,,,,
K12341,,,,
K12342,,,,
K11904,,,,
K11903,,,,
K11906,,,,
K11891,,,,
K11892,,,,
K11913,,,,
K11907,,,,
K03221,,,,
K04059,,,,
K04057,,,,
K04056,,,,
K03219,,,,
K04058,,,,
K03222,,,,
K03226,,,,
K03227,,,,
K03228,,,,
K03229,,,,
K03230,,,,
K03225,,,,
K03223,,,,
K02453,,,,
K02465,,,,
K02455,,,,
K02456,,,,
K02452,,,,
K02457,,,,
K02458,,,,
K02459,,,,
K02460,,,,
K02461,,,,
K02462,,,,
K03110,,,,
K03071,,,,
K03072,,,,
K03074,,,,
K12257,,,,
K03075,,,,
K03076,,,,
K03210,,,,
K03217,,,,
K03073,,,,
K03116,,,,
K03118,,,,
K03425,,,,
K03117,,,,
K03197,,,,
K03200,,,,
K03198,,,,
K03202,,,,
K03204,,,,
K03201,,,,
K03203,,,,
K03195,,,,
K03194,,,,
K13301,,,,
