ID,geneNames,fullName,EC_number,function
K02818,PTS-Tre-EIIB; treB,"PTS system, trehalose-specific IIB component [EC:2.7.1.201]",2.7.1.201,protein-Npi-phosphohistidine---trehalose phosphotransferase
K02817,PTS-Tre-EIIA; treP,"PTS system, trehalose-specific IIA component [EC:2.7.1.201]",2.7.1.201,protein-Npi-phosphohistidine---trehalose phosphotransferase
K02808,PTS-Scr-EIIA; scrA; ptsS,"PTS system, sucrose-specific IIA component [EC:2.7.1.211]",2.7.1.211,protein-Npi-phosphohistidine---sucrose phosphotransferase
K02809,PTS-Scr-EIIB; scrA; sacP; sacX; ptsS,"PTS system, sucrose-specific IIB component [EC:2.7.1.211]",2.7.1.211,protein-Npi-phosphohistidine---sucrose phosphotransferase
K11191,PTS-Mur-EIIB; murP,"PTS system, N-acetylmuramic acid-specific IIB component [EC:2.7.1.192]",2.7.1.192,protein-Npi-phosphohistidine---N-acetylmuramate phosphotransferase
K02802,PTS-Nag-EIIA; nagE,"PTS system, N-acetylglucosamine-specific IIA component [EC:2.7.1.193]",2.7.1.193,protein-Npi-phosphohistidine---N-acetyl-D-glucosamine phosphotransferase
K02803,PTS-Nag-EIIB; nagE,"PTS system, N-acetylglucosamine-specific IIB component [EC:2.7.1.193]",2.7.1.193,protein-Npi-phosphohistidine---N-acetyl-D-glucosamine phosphotransferase
K02760,PTS-Cel-EIIB; celA; chbB,"PTS system, cellobiose-specific IIB component [EC:2.7.1.196 2.7.1.205]",2.7.1.196,"protein-Npi-phosphohistidine---N,N'-diacetylchitobiose phosphotransferase"
K02759,PTS-Cel-EIIA; celC; chbA,"PTS system, cellobiose-specific IIA component [EC:2.7.1.196 2.7.1.205]",2.7.1.196,"protein-Npi-phosphohistidine---N,N'-diacetylchitobiose phosphotransferase"
K02749,PTS-Glv-EIIB; glvB; malP; aglA,"PTS system, alpha-glucoside-specific IIB component [EC:2.7.1.208 2.7.1.-]",2.7.1.208,protein-Npi-phosphohistidine---maltose phosphotransferase
K02790,PTS-MalGlc-EIIB; malX,"PTS system, maltose/glucose-specific IIB component [EC:2.7.1.199 2.7.1.208]",2.7.1.208,protein-Npi-phosphohistidine---maltose phosphotransferase
K20107,PTS-Mal-EIIB; malT,"PTS system, maltose-specific IIB component [EC:2.7.1.208]",2.7.1.208,protein-Npi-phosphohistidine---maltose phosphotransferase
K02813,PTS-Sor-EIIB; sorB,"PTS system, sorbose-specific IIB component [EC:2.7.1.206]",2.7.1.206,protein-Npi-phosphohistidine---L-sorbose phosphotransferase
K02812,PTS-Sor-EIIA; sorF,"PTS system, sorbose-specific IIA component [EC:2.7.1.206]",2.7.1.206,protein-Npi-phosphohistidine---L-sorbose phosphotransferase
K02821,PTS-Ula-EIIA; ulaC; sgaA,"PTS system, ascorbate-specific IIA component [EC:2.7.1.194]",2.7.1.194,protein-Npi-phosphohistidine---L-ascorbate phosphotransferase
K02822,PTS-Ula-EIIB; ulaB; sgaB,"PTS system, ascorbate-specific IIB component [EC:2.7.1.194]",2.7.1.194,protein-Npi-phosphohistidine---L-ascorbate phosphotransferase
K02787,PTS-Lac-EIIB; lacE,"PTS system, lactose-specific IIB component [EC:2.7.1.207]",2.7.1.207,protein-Npi-phosphohistidine---lactose phosphotransferase
K02786,PTS-Lac-EIIA; lacF,"PTS system, lactose-specific IIA component [EC:2.7.1.207]",2.7.1.207,protein-Npi-phosphohistidine---lactose phosphotransferase
K02774,PTS-Gat-EIIB; gatB; sgcB,"PTS system, galactitol-specific IIB component [EC:2.7.1.200]",2.7.1.200,protein-Npi-phosphohistidine---galactitol phosphotransferase
K02773,PTS-Gat-EIIA; gatA; sgcA,"PTS system, galactitol-specific IIA component [EC:2.7.1.200]",2.7.1.200,protein-Npi-phosphohistidine---galactitol phosphotransferase
K02782,PTS-Gut-EIIB; srlE,"PTS system, glucitol/sorbitol-specific IIB component [EC:2.7.1.198]",2.7.1.198,protein-Npi-phosphohistidine---D-sorbitol phosphotransferase
K02781,PTS-Gut-EIIA; srlB,"PTS system, glucitol/sorbitol-specific IIA component [EC:2.7.1.198]",2.7.1.198,protein-Npi-phosphohistidine---D-sorbitol phosphotransferase
K02793,PTS-Man-EIIA; manX,"PTS system, mannose-specific IIA component [EC:2.7.1.191]",2.7.1.191,protein-Npi-phosphohistidine---D-mannose phosphotransferase
K02794,PTS-Man-EIIB; manX,"PTS system, mannose-specific IIB component [EC:2.7.1.191]",2.7.1.191,protein-Npi-phosphohistidine---D-mannose phosphotransferase
K02798,PTS-Mtl-EIIA; mtlA; cmtB,"PTS system, mannitol-specific IIA component [EC:2.7.1.197]",2.7.1.197,protein-Npi-phosphohistidine---D-mannitol phosphotransferase
K02799,PTS-Mtl-EIIB; mtlA; cmtA,"PTS system, mannitol-specific IIB component [EC:2.7.1.197]",2.7.1.197,protein-Npi-phosphohistidine---D-mannitol phosphotransferase
K02778,PTS-Glc-EIIB; ptsG,"PTS system, glucose-specific IIB component [EC:2.7.1.199]",2.7.1.199,protein-Npi-phosphohistidine---D-glucose phosphotransferase
K02790,PTS-MalGlc-EIIB; malX,"PTS system, maltose/glucose-specific IIB component [EC:2.7.1.199 2.7.1.208]",2.7.1.199,protein-Npi-phosphohistidine---D-glucose phosphotransferase
K20116,PTS-Glc1-EIIA; ptsG; glcA; glcB,"PTS system, glucose-specific IIA component [EC:2.7.1.199]",2.7.1.199,protein-Npi-phosphohistidine---D-glucose phosphotransferase
K20117,PTS-Glc1-EIIB; ptsG; glcA; glcB,"PTS system, glucose-specific IIB component [EC:2.7.1.199]",2.7.1.199,protein-Npi-phosphohistidine---D-glucose phosphotransferase
K17465,PTS-Dga-EIIB; dgaB,"PTS system, D-glucosaminate-specific IIB component [EC:2.7.1.203]",2.7.1.203,protein-Npi-phosphohistidine---D-glucosaminate phosphotransferase
K17464,PTS-Dga-EIIA; dgaA,"PTS system, D-glucosaminate-specific IIA component [EC:2.7.1.203]",2.7.1.203,protein-Npi-phosphohistidine---D-glucosaminate phosphotransferase
K20113,PTS-Gal-EIIB,"PTS system, galactose-specific IIB component [EC:2.7.1.204]",2.7.1.204,protein-Npi-phosphohistidine---D-galactose phosphotransferase
K20112,PTS-Gal-EIIA,"PTS system, galactose-specific IIA component [EC:2.7.1.204]",2.7.1.204,protein-Npi-phosphohistidine---D-galactose phosphotransferase
